Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
1p36.31	1:6466091-6520060	PLEKHG5, KIAA0720, DSMA4, CMTRIC	Pleckstrin homology domain-containing protein, family G, member 5	611101		Charcot-Marie-Tooth disease, recessive intermediate C	615376	Autosomal recessive	3	Plekhg5
1p36.31-p36.23	1:6785323-7769705	CAMTA1, KIAA0833, CANPMR	Calmodulin-binding transcription activator 1	611501		Cerebellar ataxia, nonprogressive, with mental retardation	614756	Autosomal dominant	3	Camta1
1p36.2	1:7100000-15900000	SCZD12	Schizophrenia 12	608543	max lod at D1S1612	{Schizophrenia 12}	181500	Autosomal dominant	2	
1p36.23	1:7784284-7845180	PER3, FASPS3	Period, Drosophila, homolog of, 3	603427	mutation identified in 1 FASPS3 family	?Advanced sleep phase syndrome, familial, 3	616882	Autosomal dominant	3	Per3
1p36.23	1:7961653-7985281	DJ1, PARK7	Oncogene DJ-1	602533		Parkinson disease 7, autosomal recessive early-onset	606324	Autosomal recessive	3	Park7
1p36.23	1:8318084-8344166	SLC45A1, DNB5, IDDNPF	Solute carrier family 45, member 1	605763		Intellectual developmental disorder with neuropsychiatric features	617532	Autosomal recessive	3	Slc45a1
1p36.23	1:8352403-8826225	RERE, NEDBEH	RE repeats-encoding gene	605226		Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart	616975	Autosomal dominant	3	Rere
1p36.23	1:8860999-8879091	ENO1, PPH, MPB1	Enolase-1, alpha	172430		Enolase deficiency			1	Eno1b,Eno1
1p36.22	1:9629888-9729113	PIK3CD, APDS, IMD14	Phosphatidylinositol 3-kinase, catalytic, 110kD, delta	602839		Immunodeficiency 14	615513	Autosomal dominant	3	Pik3cd
1p36.22	1:10210705-10381602	KIF1B, CMT2A, CMT2A1, NBLST1	Kinesin family member 1B	605995	mutation identified in 1 CMT2A1 family	{Neuroblastoma, susceptibility to, 1}	256700	Isolated cases; Autosomal dominant	3	Kif1b
1p36.22	1:10210705-10381602	KIF1B, CMT2A, CMT2A1, NBLST1	Kinesin family member 1B	605995	mutation identified in 1 CMT2A1 family	Pheochromocytoma	171300	Autosomal dominant	3	Kif1b
1p36.22	1:10210705-10381602	KIF1B, CMT2A, CMT2A1, NBLST1	Kinesin family member 1B	605995	mutation identified in 1 CMT2A1 family	?Charcot-Marie-Tooth disease, type 2A1	118210	Autosomal dominant	3	Kif1b
1p36.22	1:10474945-10630757	PEX14, PBD13A	Peroxisome biogenesis factor 14	601791		Peroxisome biogenesis disorder 13A (Zellweger)	614887	Autosomal recessive	3	Pex14
1p36.22	1:11012621-11030527	TARDBP, TDP43, ALS10	TAR DNA-binding protein	605078	pseudogenes on 2, 6, 8, 13, 20	Amyotrophic lateral sclerosis 10, with or without FTD	612069	Autosomal dominant	3	Tardbp
1p36.22	1:11012621-11030527	TARDBP, TDP43, ALS10	TAR DNA-binding protein	605078	pseudogenes on 2, 6, 8, 13, 20	Frontotemporal lobar degeneration, TARDBP-related	612069	Autosomal dominant	3	Tardbp
1p36.22	1:11106530-11262550	MTOR, FRAP1, SKS	Mechanistic target of rapamycin	601231		Smith-Kingsmore syndrome	616638	Autosomal dominant	3	Mtor
1p36.22	1:11106530-11262550	MTOR, FRAP1, SKS	Mechanistic target of rapamycin	601231		Focal cortical dysplasia, type II, somatic	607341		3	Mtor
1p36.22	1:11273197-11299577	UBIAD1, TERE1, SCCD	UbiA prenyltransferase domain-containing protein 1	611632		Corneal dystrophy, Schnyder type	121800	Autosomal dominant	3	Ubiad1
1p36.22	1:11785729-11806102	MTHFR	Methylenetetrahydrofolate reductase	607093		{Vascular disease, susceptibility to}			3	Mthfr
1p36.22	1:11785729-11806102	MTHFR	Methylenetetrahydrofolate reductase	607093		{Thromboembolism, susceptibility to}	188050	Autosomal dominant	3	Mthfr
1p36.22	1:11785729-11806102	MTHFR	Methylenetetrahydrofolate reductase	607093		{Schizophrenia, susceptibility to}	181500	Autosomal dominant	3	Mthfr
1p36.22	1:11785729-11806102	MTHFR	Methylenetetrahydrofolate reductase	607093		{Neural tube defects, susceptibility to}	601634	Autosomal recessive	3	Mthfr
1p36.22	1:11785729-11806102	MTHFR	Methylenetetrahydrofolate reductase	607093		Homocystinuria due to MTHFR deficiency	236250	Autosomal recessive	3	Mthfr
1p36.22	1:11934666-11975541	PLOD1, LH1, LLH, EDS6	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase)	153454		Ehlers-Danlos syndrome, type VI	225400	Autosomal recessive	3	Plod1
1p36.22	1:11980180-12013514	MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B	Mitofusin 2	608507		Hereditary motor and sensory neuropathy VIA	601152	Autosomal dominant	3	Mfn2
1p36.22	1:11980180-12013514	MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B	Mitofusin 2	608507		Charcot-Marie-Tooth disease, axonal, type 2A2B	617087	Autosomal recessive	3	Mfn2
1p36.22	1:11980180-12013514	MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B	Mitofusin 2	608507		Charcot-Marie-Tooth disease, axonal, type 2A2A	609260	Autosomal dominant	3	Mfn2
1p36.22	1:12166947-12209221	TNFRSF1B, TNFR2, TNFBR	Tumor necrosis factor receptor superfamily, member 1B	191191					Tnfrsf1b
1p36.21	1:15438441-15449246	CTRC, CLCR	Chymotrypsin	601405		{Pancreatitis, chronic, susceptibility to}	167800	Autosomal dominant	3	Ctrc
1p36.13	1:15941868-15976131	ZBTB17, ZNF151, MIZ1	Zinc finger- and BTB domain-containing protein 17	604084					Zbtb17
1p36.13	1:16021990-16034049	CLCNKA	Chloride channel, kidney, A	602024	11kb from CLCNKB; simultaneous mutation in CLCNKA and CLCNKB	Bartter syndrome, type 4b, digenic	613090	Digenic recessive	3	Clcnkb
1p36.13	1:16043735-16057325	CLCNKB	Chloride channel, kidney, B	602023	unequal crossingover with CLCNKA	Bartter syndrome, type 3	607364	Autosomal recessive	3	Clcnka
1p36.13	1:16043735-16057325	CLCNKB	Chloride channel, kidney, B	602023	unequal crossingover with CLCNKA	Bartter syndrome, type 4b, digenic	613090	Digenic recessive	3	Clcnka
1p36.13	1:16740515-16740678	RNU1A, RNU1	RNA, U1A small nuclear	180680	?same as A12M2				
1p36.13	1:16985957-17011971	ATP13A2, PARK9, KRPPD, SPG78	ATPase, type 13A2	610513	mutation identified in 1 family with CLN12	Spastic paraplegia 78, autosomal recessive	617225	Autosomal recessive	3	Atp13a2
1p36.13	1:16985957-17011971	ATP13A2, PARK9, KRPPD, SPG78	ATPase, type 13A2	610513	mutation identified in 1 family with CLN12	Kufor-Rakeb syndrome	606693	Autosomal recessive	3	Atp13a2
1p36.13	1:17018721-17054169	SDHB, SDH2, SDHIP, PGL4, CWS2	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	185470	1 of 2 polypeptides	Pheochromocytoma	171300	Autosomal dominant	3	Sdhb
1p36.13	1:17018721-17054169	SDHB, SDH2, SDHIP, PGL4, CWS2	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	185470	1 of 2 polypeptides	Paragangliomas 4	115310	Autosomal dominant	3	Sdhb
1p36.13	1:17018721-17054169	SDHB, SDH2, SDHIP, PGL4, CWS2	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	185470	1 of 2 polypeptides	Paraganglioma and gastric stromal sarcoma	606864		3	Sdhb
1p36.13	1:17018721-17054169	SDHB, SDH2, SDHIP, PGL4, CWS2	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	185470	1 of 2 polypeptides	Gastrointestinal stromal tumor	606764	Isolated cases; Autosomal dominant	3	Sdhb
1p36.13	1:17018721-17054169	SDHB, SDH2, SDHIP, PGL4, CWS2	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	185470	1 of 2 polypeptides	Cowden syndrome 2	612359	Autosomal dominant	3	Sdhb
1p36.13	1:17249078-17284232	PADI3, UHS1	Peptidylarginine deiminase, type III	606755		Uncombable hair syndrome	191480	Autosomal recessive	3	Padi3
1p36.13	1:17308194-17364003	PADI4, PADI5, PAD	Peptidylarginine deiminase, type IV	605347		{Rheumatoid arthritis, susceptibility to}	180300		3	Padi4
1p36.13	1:18871429-18902798	ALDH4A1, ALDH4, P5CDH	Aldehyde dehydrogenase 4 family, member A1 (delta-1-pyrroline 5-carboxylate dehydrogenase)	606811		Hyperprolinemia, type II	239510	Autosomal recessive	3	Aldh4a1
1p36.13	1:19074505-19210333	UBR4, ZUBR1, RBAF600, KIAA1307	Ubiquitin protein ligase E3 component n-recognin 4	609890					Ubr4
1p36.13	1:19215663-19251558	EMC1, KIAA0090, CAVIPMR	Endoplasmic reticulum membrane protein complex, subunit 1	616846		Cerebellar atrophy, visual impairment, and psychomotor retardation	616875	Autosomal recessive	3	Emc1
1p36.13	1:19975430-19980438	PLA2G2A, PLA2B, PLA2L, MOM1	Phospholipase A2, group IIA, platelets, synovial fluid	172411		{Colorectal cancer}	114500	Autosomal dominant	3	
1p36.12	1:20633454-20651510	PINK1, PARK6	PTEN-induced putative kinase 1	608309		Parkinson disease 6, early onset	605909	Autosomal recessive	3	Pink1
1p36.12	1:20651766-20661543	DDOST, OST, OST48, CDG1R	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	602202	mutation (cmpd het) identified in 1 CDG1R patient	?Congenital disorder of glycosylation, type Ir	614507	Autosomal recessive	3	Ddost
1p36.12	1:21217246-21345540	ECE1	Endothelin converting enzyme 1	600423	mutation identified in 1 HCAD patient	{Hypertension, essential, susceptibility to}	145500	Multifactorial	3	Ece1
1p36.12	1:21217246-21345540	ECE1	Endothelin converting enzyme 1	600423	mutation identified in 1 HCAD patient	?Hirschsprung disease, cardiac defects, and autonomic dysfunction	613870	Autosomal dominant	3	Ece1
1p36.12	1:21508981-21578411	ALPL, HOPS, TNSALP	Alkaline phosphatase, liver/bone/kidney	171760		Odontohypophosphatasia	146300	Autosomal dominant; Autosomal recessive	3	Alpl
1p36.12	1:21508981-21578411	ALPL, HOPS, TNSALP	Alkaline phosphatase, liver/bone/kidney	171760		Hypophosphatasia, infantile	241500	Autosomal recessive	3	Alpl
1p36.12	1:21508981-21578411	ALPL, HOPS, TNSALP	Alkaline phosphatase, liver/bone/kidney	171760		Hypophosphatasia, childhood	241510	Autosomal recessive	3	Alpl
1p36.12	1:21508981-21578411	ALPL, HOPS, TNSALP	Alkaline phosphatase, liver/bone/kidney	171760		Hypophosphatasia, adult	146300	Autosomal dominant; Autosomal recessive	3	Alpl
1p36.12	1:21822231-21937296	HSPG2, PLC, SJS, SJA, SJS1	Heparan sulfate proteoglycan of basement membrane (perlecan)	142461		Dyssegmental dysplasia, Silverman-Handmaker type	224410	Autosomal recessive	3	Hspg2
1p36.12	1:21822231-21937296	HSPG2, PLC, SJS, SJA, SJS1	Heparan sulfate proteoglycan of basement membrane (perlecan)	142461		Schwartz-Jampel syndrome, type 1	255800	Autosomal recessive	3	Hspg2
1p36.12	1:22052626-22092942	CDC42, TKS	Cell division cycle 42 (GTP-binding protein, 25kD)	116952		Takenouchi-Kosaki syndrome	616737		3	
1p36.12	1:22117304-22143980	WNT4, SERKAL	Wingless-type MMTV integration site family, member 4	603490	mutation identified in 1 SERKAL family	Mullerian aplasia and hyperandrogenism	158330	Autosomal dominant	3	Wnt4
1p36.12	1:22117304-22143980	WNT4, SERKAL	Wingless-type MMTV integration site family, member 4	603490	mutation identified in 1 SERKAL family	?SERKAL syndrome	611812	Autosomal recessive	3	Wnt4
1p36.12	1:22636624-22639681	C1QA	Complement component 1, q subcomponent, A chain	120550		C1q deficiency	613652	Autosomal recessive	3	C1qa
1p36.12	1:22643624-22648109	C1QC, C1QG	Complement component 1, q subcomponent, C chain	120575		C1q deficiency	613652	Autosomal recessive	3	C1qc
1p36.12	1:22653188-22661535	C1QB	Complement component 1, q subcomponent, B chain	120570		C1q deficiency	613652	Autosomal recessive	3	C1qb
1p36.12	1:22710769-22921499	EPHB2, EPHT3, DRT, ERK, PCBC, CAPB	eph tyrosine kinase 3 (ephrin receptor EphB2)	600997		{Prostate cancer/brain cancer susceptibility, somatic}	603688		3	Ephb2
1p36.11	1:23691778-23696424	RPL11, DBA7	Ribosomal protein L11	604175		Diamond-Blackfan anemia 7	612562	Autosomal dominant	3	Rpl11
1p36.11	1:23795598-23800803	GALE	UDP galactose-4-epimerase	606953		Galactose epimerase deficiency	230350	Autosomal recessive	3	Gale
1p36.11	1:23801876-23825458	HMGCL	3-hydroxy-3-methylglutaryl-Coenzyme A lyase	613898		HMG-CoA lyase deficiency	246450	Autosomal recessive	3	Hmgcl
1p36.11	1:23845076-23868368	FUCA1	Fucosidase, alpha-L- 1, tissue	612280	8cM distal to RH; pseudogene on 2q31-q32	Fucosidosis	230000	Autosomal recessive	3	Fuca1
1p36.11	1:24319321-24364481	GRHL3, SOM, TFCP2L4, VWS2	Grainyhead-like 3	608317		Van der Woude syndrome 2	606713	Autosomal dominant	3	Grhl3
1p36.11	1:25362248-25430192	RHCE	Rhesus system C and E polypeptides	111700	?order: C-E-D	[Blood group, Rhesus]	111690		3	Rhd
1p36.11	1:25362248-25430192	RHCE	Rhesus system C and E polypeptides	111700	?order: C-E-D	Rh-null disease, amorph type			3	Rhd
1p36.11	1:25543579-25590399	LDLRAP1, ARH, FHCB2, FHCB1	Low density lipoprotein receptor adaptor protein 1	605747		Hypercholesterolemia, familial, autosomal recessive	603813		3	Ldlrap1
1p36.11	1:25800175-25818221	SELENON, SEPN1, SELN, RSMD1, CFTD	Selenoprotein N	606210		Muscular dystrophy, rigid spine, 1	602771	Autosomal recessive	3	Selenon
1p36.11	1:25800175-25818221	SELENON, SEPN1, SELN, RSMD1, CFTD	Selenoprotein N	606210		Myopathy, congenital, with fiber-type disproportion	255310	Autosomal dominant; Autosomal recessive	3	Selenon
1p36.11	1:25884185-25906876	STMN1, LAP18, SMN	Stathmin	151442					Stmn1
1p36.11	1:26038021-26046137	SLC30A2, ZNT2, TNZD	Solute carrier family 30 (zinc transporter), member 2	609617		Zinc deficiency, transient neonatal	608118	Autosomal dominant	3	Slc30a2
1p36.11	1:26696030-26782109	ARID1A, C1orf4, B120, SMARCF1, MRD14, CSS2	AT rich interactive domain 1A, SWI-like	603024		Coffin-Siris syndrome 2	614607	Autosomal dominant	3	Arid1a
1p36.11	1:26787962-26798402	PIGV, HPMRS1	Phosphatidylinositol glycan, class V	610274		Hyperphosphatasia with mental retardation syndrome 1	239300	Autosomal recessive	3	Pigv
1p36.11	1:26911483-26914075	NR0B2, SHP	Nuclear receptor subfamily 0, group B, member 2	604630		Obesity, mild, early-onset	601665	Multifactorial; Autosomal dominant; Autosomal recessive	3	Nr0b2
1p36.11	1:26949555-26960483	KDF1, C1orf172, ECTD12	Keratinocyte differentiation factor 1	616758	mutation identified in 1 ECTD12 family	?Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type	617337	Autosomal dominant	3	Kdf1
1p36.11	1:27098808-27155129	SLC9A1, NHE1, APNH, LIKNS	Solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, Na+/H+, amiloride sensitive)	107310	mutation identified in 1 LIKNS family	?Lichtenstein-Knorr syndrome	616291	Autosomal recessive	3	Slc9a1
1p36.1-p35.3	1:27534244-27604177	AHDC1, MRD25	AT-hook DNA-binding motif-containing protein 1	615790		Xia-Gibbs syndrome	615829	Autosomal dominant	3	Ahdc1
1p35.3	1:28812141-28863695	OPRD1	Opioid receptor, delta-1	165195					Oprd1
1p35.3	1:28887090-29120045	EPB41, EL1	Erythrocyte surface protein band 4.1	130500		Elliptocytosis-1	611804		3	Epb41
1p35.3	1:29192656-29230957	MECR, NRBF1, DYTOABG	Mitochondrial trans-2-enoyl-CoA reductase	608205		Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities	617282	Autosomal recessive	3	Mecr
1p35.2	1:30869465-30909734	SDC3, SYND3, SDCN	Syndecan 3	186357		{Obesity, association with}	601665	Multifactorial; Autosomal dominant; Autosomal recessive	3	Sdc3
1p35.2	1:32200385-32205389	CCDC28B, MGC1203	Coiled-coil domain-containing protein 28B	610162		{Bardet-Biedl syndrome 1, modifier of}	209900	Autosomal recessive; Digenic recessive	3	Ccdc28b
1p35.2	1:32251238-32286166	LCK, IMD22	Lymphocyte-specific protein tyrosine kinase	153390	LCK/TCRB fusion in leukemia; mutation identified in 1 IMD22 patient	?Immunodeficiency 22	615758	Autosomal recessive	3	Lck
1p35.1	1:32679905-32702759	SYNC1	Syncoilin 1	611750					Sync
1p35.1	1:32775236-32818031	YARS, CMTDIC, TYRRS, YTS, YRS	Tyrosyl-tRNA synthetase	603623		Charcot-Marie-Tooth disease, dominant intermediate C	608323	Autosomal dominant	3	Yars
1p35.1	1:32862267-32872491	FNDC5, FRCP2	Fibronectin type III domain-containing protein 5	611906					Fndc5
1p35.1	1:32885964-32894645	HPCA, DYT2	Hippocalcin, 23kD, Ca2+-binding protein	142622		Dystonia 2, torsion, autosomal recessive	224500	Autosomal recessive	3	Hpca
1p35.1	1:33007939-33036910	AK2	Adenylate kinase-2, mitochondrial	103020		Reticular dysgenesis	267500	Autosomal recessive	3	Ak2
1p34.3	1:34759740-34763723	GJB4, CX30.3, EKVP2	Gap junction protein, beta-4	605425		Erythrokeratodermia variabilis et progressiva 2	617524		3	Gjb4
1p34.3	1:34781188-34786365	GJB3, CX31, DFNA2B, EKVP1	Gap junction protein, beta-3	603324	same YAC as GJA4	Deafness, autosomal dominant 2B	612644	Autosomal dominant	3	Gjb3
1p34.3	1:34781188-34786365	GJB3, CX31, DFNA2B, EKVP1	Gap junction protein, beta-3	603324	same YAC as GJA4	Erythrokeratodermia variabilis et progressiva 1	133200	Autosomal dominant; Autosomal recessive	3	Gjb3
1p34.3	1:34781188-34786365	GJB3, CX31, DFNA2B, EKVP1	Gap junction protein, beta-3	603324	same YAC as GJA4	Deafness, digenic, GJB2/GJB3	220290	Digenic dominant; Autosomal recessive	3	Gjb3
1p34.3	1:34781188-34786365	GJB3, CX31, DFNA2B, EKVP1	Gap junction protein, beta-3	603324	same YAC as GJA4	Deafness, autosomal recessive			3	Gjb3
1p34.3	1:34781188-34786365	GJB3, CX31, DFNA2B, EKVP1	Gap junction protein, beta-3	603324	same YAC as GJA4	Deafness, autosomal dominant, with peripheral neuropathy			3	Gjb3
1p34.3	1:35433489-35557669	KIAA0319L, KIAA1837	KIAA0319-like	613535					AU040320
1p34.3	1:36095235-36126206	COL8A2, FECD1, PPCD2	Collagen VIII, alpha-2 polypeptide	120252		Corneal dystrophy, Fuchs endothelial, 1	136800	Autosomal dominant	3	Col8a2
1p34.3	1:36095235-36126206	COL8A2, FECD1, PPCD2	Collagen VIII, alpha-2 polypeptide	120252		Corneal dystrophy, posterior polymorphous 2	609140		3	Col8a2
1p34.3	1:36455760-36464438	MRPS15	Mitochondrial ribosomal protein S15	611979					Mrps15
1p34.3	1:36466042-36483313	CSF3R, GCSFR, SCN7	Colony-stimulating factor-3 receptor (granulocyte)	138971		Neutropenia, severe congenital, 7, autosomal recessive	617014	Autosomal recessive	3	Csf3r
1p34.3	1:37474517-37484376	ZC3H12A, MCPIP, MCPIP1	Zinc finger CCCH domain-containing protein 12A	610562					Zc3h12a
1p34.2	1:39955111-39969967	MFSD2A, MCPH15	Major facilitator superfamily domain-containing protein 2A	614397		Microcephaly 15, primary, autosomal recessive	616486	Autosomal recessive	3	Mfsd2a
1p34.2	1:40072709-40097469	PPT1, CLN1	Palmitoyl-protein thioesterase 1	600722		Ceroid lipofuscinosis, neuronal, 1	256730	Autosomal recessive	3	Ppt1
1p34.2	1:40258049-40294183	ZMPSTE24, FACE1, STE24, MADB	Zinc metalloproteinase STE24	606480		Restrictive dermopathy, lethal	275210	Autosomal recessive	3	Zmpste24
1p34.2	1:40258049-40294183	ZMPSTE24, FACE1, STE24, MADB	Zinc metalloproteinase STE24	606480		Mandibuloacral dysplasia with type B lipodystrophy	608612	Autosomal recessive	3	Zmpste24
1p34.2	1:40300486-40317652	COL9A2, EDM2, STL5	Collagen IX, alpha-2 polypeptide	120260	mutation identified in1 STL5 family	Epiphyseal dysplasia, multiple, 2	600204	Autosomal dominant	3	Col9a2
1p34.2	1:40300486-40317652	COL9A2, EDM2, STL5	Collagen IX, alpha-2 polypeptide	120260	mutation identified in1 STL5 family	?Stickler syndrome, type V	614284	Autosomal recessive	3	Col9a2
1p34.2	1:40784011-40840456	KCNQ4, DFNA2A	Potassium voltage-gated channel, KQT-like subfamily, member 4	603537		Deafness, autosomal dominant 2A	600101	Autosomal dominant	3	Kcnq4
1p34.2	1:42746334-42767083	P3H1, LEPRE1, GROS1, OI8	Prolyl 3-hydroxylase 1	610339		Osteogenesis imperfecta, type VIII	610915	Autosomal recessive	3	P3h1
1p34.2	1:42925374-42959175	SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN	Solute carrier family 2 (facilitated glucose transporter), member 1	138140	probably in 1p33	{Epilepsy, idiopathic generalized, susceptibility to, 12}	614847	Autosomal dominant	3	Slc2a1
1p34.2	1:42925374-42959175	SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN	Solute carrier family 2 (facilitated glucose transporter), member 1	138140	probably in 1p33	Stomatin-deficient cryohydrocytosis with neurologic defects	608885	Autosomal dominant	3	Slc2a1
1p34.2	1:42925374-42959175	SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN	Solute carrier family 2 (facilitated glucose transporter), member 1	138140	probably in 1p33	GLUT1 deficiency syndrome 2, childhood onset	612126	Autosomal dominant	3	Slc2a1
1p34.2	1:42925374-42959175	SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN	Solute carrier family 2 (facilitated glucose transporter), member 1	138140	probably in 1p33	GLUT1 deficiency syndrome 1, infantile onset, severe	606777	Autosomal dominant; Autosomal recessive	3	Slc2a1
