	Map Search - 'muscular dystrophy (Entries with: gene map locus; Retrieve: gene map)'
Downloaded:	Sep 17, 2017
Copyright (c) 1966-2017 Johns Hopkins University OMIM, data are provided for research purposes only.

Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
1p13.3	1:111117331-111140215	DRAM2, TMEM77, CORD21	Damage-regulated autophagy modulator 2	613360		Cone-rod dystrophy 21	616502	Autosomal recessive	3	Dram2
1p13.2	1:111755567-111767576	DDX20	DEAD/H box 20	606168					Ddx20
1p13.2	1:112911846-112956352	SLC16A1, MCT1, HHF7, MCT1D	Solute carrier family 16 (monocarboxylic acid transporters), member 1	600682		Erythrocyte lactate transporter defect	245340	Autosomal dominant	3	Slc16a1
1p13.2	1:112911846-112956352	SLC16A1, MCT1, HHF7, MCT1D	Solute carrier family 16 (monocarboxylic acid transporters), member 1	600682		Monocarboxylate transporter 1 deficiency	616095	Autosomal dominant; Autosomal recessive	3	Slc16a1
1p13.2	1:112911846-112956352	SLC16A1, MCT1, HHF7, MCT1D	Solute carrier family 16 (monocarboxylic acid transporters), member 1	600682		Hyperinsulinemic hypoglycemia, familial, 7	610021	Autosomal dominant	3	Slc16a1
1p13.2	1:113894193-113905201	AP4B1, SPG47, CPSQ5	Adaptor-related protein complex 4, beta-1 subunit	607245		Spastic paraplegia 47, autosomal recessive	614066	Autosomal recessive	3	Ap4b1
1q	1:123400000-248956422	LRE2	LINE retrotransposable element-2	151628	inserted in DMD gene				
1q12-q24	1:125100000-173000000	CORD8	Cone-rod dystrophy 8	605549		Cone-rod dystrophy 8	605549	Autosomal recessive	2	
1q21.1	1:145911347-145918923	PEX11B, PEX14B	Peroxisome biogenesis 11B	603867	mutation identified in 1 PEX14B patient	?Peroxisome biogenesis disorder 14B	614920	Autosomal recessive	3	Pex11b
1q21.3	1:150730195-150765956	CTSS	Cathepsin S	116845					Ctss
1q21.3	1:151402723-151459464	POGZ, KIAA0461, MRD37, WHSUS	POGO transposable element with ZNF domain	614787		White-Sutton syndrome	616364	Autosomal dominant	3	Pogz
1q21.3	1:152908562-152911885	IVL	Involucrin	147360					
1q21.3	1:154155303-154192134	TPM3, NEM1, CFTD, CAPM1	Tropomyosin 3	191030	TRK = chimera of TPM3 and NTRK1; NEM1 to 1q21-q23 by Fd	CAP myopathy 1	609284	Autosomal dominant; Autosomal recessive	3	Tpm3
1q21.3	1:154155303-154192134	TPM3, NEM1, CFTD, CAPM1	Tropomyosin 3	191030	TRK = chimera of TPM3 and NTRK1; NEM1 to 1q21-q23 by Fd	Nemaline myopathy 1, autosomal dominant or recessive	609284	Autosomal dominant; Autosomal recessive	3	Tpm3
1q21.3	1:154155303-154192134	TPM3, NEM1, CFTD, CAPM1	Tropomyosin 3	191030	TRK = chimera of TPM3 and NTRK1; NEM1 to 1q21-q23 by Fd	Myopathy, congenital, with fiber-type disproportion	255310	Autosomal dominant; Autosomal recessive	3	Tpm3
1q22	1:155139890-155140572	DPM3, CDG1O	Dolichyl-phosphate mannosyltransferase 3	605951		Congenital disorder of glycosylation, type Io	612937		3	Dpm3
1q22	1:155234447-155244861	GBA	Glucosidase, acid beta	606463	pseudogene GBAP ~16kb 3' to GBA	Gaucher disease, type I	230800	Autosomal recessive	3	Gba
1q22	1:155234447-155244861	GBA	Glucosidase, acid beta	606463	pseudogene GBAP ~16kb 3' to GBA	{Parkinson disease, late-onset, susceptibility to}	168600	Multifactorial; Isolated cases	3	Gba
1q22	1:155234447-155244861	GBA	Glucosidase, acid beta	606463	pseudogene GBAP ~16kb 3' to GBA	Gaucher disease, perinatal lethal	608013	Autosomal recessive	3	Gba
1q22	1:155234447-155244861	GBA	Glucosidase, acid beta	606463	pseudogene GBAP ~16kb 3' to GBA	{Lewy body dementia, susceptibility to}	127750	Autosomal dominant	3	Gba
1q22	1:155234447-155244861	GBA	Glucosidase, acid beta	606463	pseudogene GBAP ~16kb 3' to GBA	Gaucher disease, type IIIC	231005	Autosomal recessive	3	Gba
1q22	1:155234447-155244861	GBA	Glucosidase, acid beta	606463	pseudogene GBAP ~16kb 3' to GBA	Gaucher disease, type III	231000	Autosomal recessive	3	Gba
1q22	1:155234447-155244861	GBA	Glucosidase, acid beta	606463	pseudogene GBAP ~16kb 3' to GBA	Gaucher disease, type II	230900	Autosomal recessive	3	Gba
1q22	1:155262867-155273528	CLK2	CDC-like kinase 2	602989	near GDLD and PRKAA2; conflicting assignment 1q21				Clk2
1q22	1:156082545-156140088	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B	Lamin A/C	150330		Charcot-Marie-Tooth disease, type 2B1	605588	Autosomal recessive	3	Lmna
1q22	1:156082545-156140088	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B	Lamin A/C	150330		Lipodystrophy, familial partial, type 2	151660	Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B	Lamin A/C	150330		Restrictive dermopathy, lethal	275210	Autosomal recessive	3	Lmna
1q22	1:156082545-156140088	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B	Lamin A/C	150330		Cardiomyopathy, dilated, 1A	115200	Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B	Lamin A/C	150330		Hutchinson-Gilford progeria	176670	Autosomal dominant; Autosomal recessive	3	Lmna
1q22	1:156082545-156140088	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B	Lamin A/C	150330		Muscular dystrophy, limb-girdle, type 1B	159001	Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B	Lamin A/C	150330		Heart-hand syndrome, Slovenian type	610140	Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B	Lamin A/C	150330		Muscular dystrophy, congenital	613205	Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B	Lamin A/C	150330		Emery-Dreifuss muscular dystrophy 3, AR	616516	Autosomal recessive	3	Lmna
1q22	1:156082545-156140088	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B	Lamin A/C	150330		Mandibuloacral dysplasia	248370	Autosomal recessive	3	Lmna
1q22	1:156082545-156140088	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B	Lamin A/C	150330		Emery-Dreifuss muscular dystrophy 2, AD	181350	Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B	Lamin A/C	150330		Malouf syndrome	212112	Autosomal dominant	3	Lmna
1q22	1:156149672-156177750	SEMA4A, SEMB, RP35, CORD10	Semaphorin 4A	607292		Retinitis pigmentosa 35	610282	Autosomal dominant; Autosomal recessive	3	Sema4a
1q22	1:156149672-156177750	SEMA4A, SEMB, RP35, CORD10	Semaphorin 4A	607292		Cone-rod dystrophy 10	610283	Autosomal recessive	3	Sema4a
1q22	1:156463720-156500841	MEF2D	MADS box transcription enhancer factor 2, polypeptide D (myocyte enhancer factor 2D)	600663					Mef2d
1q23.1	1:156815749-156881849	NTRK1, TRKA, MTC	Neurotrophic tyrosine kinase, receptor, type 1	191315	TRK = chimera of TPM3 and NTRK1	Medullary thyroid carcinoma, familial	155240	Autosomal dominant	3	Ntrk1
1q23.1	1:156815749-156881849	NTRK1, TRKA, MTC	Neurotrophic tyrosine kinase, receptor, type 1	191315	TRK = chimera of TPM3 and NTRK1	Insensitivity to pain, congenital, with anhidrosis	256800	Autosomal recessive	3	Ntrk1
1q23.2	1:159712288-159714622	CRP	C-reactive protein	123260					Crp
1q23.2	1:160190494-160201885	CASQ1, VMCQA	Calsequestrin, fast-twitch, skeletal muscle-1	114250		Myopathy, vacuolar, with CASQ1 aggregates	616231	Autosomal dominant	3	Casq1
1q23.3	1:161165727-161178276	PPOX	Protoporphyrinogen oxidase	600923		Porphyria variegata	176200	Autosomal dominant	3	Ppox
1q23.3	1:161197376-161214394	NDUFS2	NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kD	602985		Mitochondrial complex I deficiency	252010	X-linked dominant; Autosomal recessive; Mitochondrial	3	Ndufs2
1q23.3	1:161303592-161309971	MPZ, CMT1B, CMTDID, CHM, DSS	Myelin protein zero	159440		Charcot-Marie-Tooth disease, type 2J	607736	Autosomal dominant	3	Mpz
1q23.3	1:161303592-161309971	MPZ, CMT1B, CMTDID, CHM, DSS	Myelin protein zero	159440		Charcot-Marie-Tooth disease, type 2I	607677	Autosomal dominant	3	Mpz
1q23.3	1:161303592-161309971	MPZ, CMT1B, CMTDID, CHM, DSS	Myelin protein zero	159440		Charcot-Marie-Tooth disease, type 1B	118200	Autosomal dominant	3	Mpz
1q23.3	1:161303592-161309971	MPZ, CMT1B, CMTDID, CHM, DSS	Myelin protein zero	159440		Roussy-Levy syndrome	180800	Autosomal dominant	3	Mpz
1q23.3	1:161303592-161309971	MPZ, CMT1B, CMTDID, CHM, DSS	Myelin protein zero	159440		Charcot-Marie-Tooth disease, dominant intermediate D	607791	Autosomal dominant	3	Mpz
1q23.3	1:161303592-161309971	MPZ, CMT1B, CMTDID, CHM, DSS	Myelin protein zero	159440		Neuropathy, congenital hypomyelinating	605253	Autosomal dominant; Autosomal recessive	3	Mpz
1q23.3	1:161303592-161309971	MPZ, CMT1B, CMTDID, CHM, DSS	Myelin protein zero	159440		Dejerine-Sottas disease	145900	Autosomal dominant; Autosomal recessive	3	Mpz
1q24.2	1:169463908-169485969	SLC19A2, THTR1, TRMA, THMD1	Solute carrier family 19 (thiamine transporter), member 2	603941		Thiamine-responsive megaloblastic anemia syndrome	249270	Autosomal recessive	3	Slc19a2
1q25.2	1:179882041-179920076	TOR1AIP1, LAP1, LAP1B, LGMD2Y	Torsin A-interacting protein 1	614512	mutation identified in 1 LGMD2Y family	?Muscular dystrophy, limb-girdle, type 2Y	617072	Autosomal recessive	3	Tor1aip1
1q25.3	1:182378092-182392205	GLUL, GLNS	Glutamate-ammonia ligase (glutamine synthase)	138290	pseudogene on chr.9	Glutamine deficiency, congenital	610015	Autosomal recessive	3	Glul
1q25.3	1:183186038-183245126	LAMC2, LAMNB2, LAMB2T	Laminin, gamma-2 (nicein, 100kD; kalinin, 105kD; BM600, 100kD)	150292		Epidermolysis bullosa, junctional, non-Herlitz type	226650	Autosomal recessive	3	Lamc2
1q25.3	1:183186038-183245126	LAMC2, LAMNB2, LAMB2T	Laminin, gamma-2 (nicein, 100kD; kalinin, 105kD; BM600, 100kD)	150292		Epidermolysis bullosa, junctional, Herlitz type	226700	Autosomal recessive	3	Lamc2
1q25.3-q31.1	1:185734525-186190952	HMCN1, FBLN6, FIBL6, ARMD1	Hemicentin (fibulin 6)	608548		{Macular degeneration, age-related, 1}	603075	Autosomal dominant	3	Hmcn1
1q31.3	1:196651877-196747503	CFH, HF1, HUS, ARMD4, AHUS1	Complement factor H	134370		{Macular degeneration, age-related, 4}	610698		3	Cfh
1q31.3	1:196651877-196747503	CFH, HF1, HUS, ARMD4, AHUS1	Complement factor H	134370		{Hemolytic uremic syndrome, atypical, susceptibility to, 1}	235400	Autosomal dominant; Autosomal recessive	3	Cfh
1q31.3	1:196651877-196747503	CFH, HF1, HUS, ARMD4, AHUS1	Complement factor H	134370		Complement factor H deficiency	609814	Autosomal dominant; Autosomal recessive	3	Cfh
1q31.3	1:196651877-196747503	CFH, HF1, HUS, ARMD4, AHUS1	Complement factor H	134370		Basal laminar drusen	126700	Autosomal dominant	3	Cfh
1q31.3	1:196774799-196794072	CFHR3, FHR3, HLF4, CFHL3	Complement factor H-related 3	605336		{Macular degeneration, age-related, reduced risk of}	603075	Autosomal dominant	3	
1q31.3	1:196774799-196794072	CFHR3, FHR3, HLF4, CFHL3	Complement factor H-related 3	605336		{Hemolytic uremic syndrome, atypical, susceptibility to}	235400	Autosomal dominant; Autosomal recessive	3	
1q31.3	1:196819729-196832188	CFHR1, FHR1, HFL1, CFHL1	Complement factor H-related 1	134371		{Macular degeneration, age-related, reduced risk of}	603075	Autosomal dominant	3	Cfhr1
